DateTime,Item_A,Item_B,Frequancy
2017-04-03,Scone,Tea,5
2017-03-14,Cake,Cookies,5
2017-03-15,Bread,Coffee,5
2017-03-17,Coffee,Pastry,5
2017-03-18,Cake,Tea,5
2017-03-19,Coffee,Scone,5
2017-03-29,Coffee,"Spanish Brunch",5
2017-03-31,Coffee,Juice,5
2017-01-04,Bread,Cake,5
2017-01-27,Soup,Tea,5
2017-04-02,Coffee,Cookies,5
2017-02-19,Coffee,Juice,5
2017-02-19,Alfajores,Sandwich,5
2017-07-03,Cake,Tea,5
2017-03-14,Coffee,Pastry,5
2017-03-16,Coffee,Toast,5
2017-03-19,Coffee,Sandwich,5
2017-03-26,Coke,Sandwich,5
2017-01-14,Coffee,Medialuna,5
2017-01-14,Alfajores,Coffee,5
2017-01-21,Coffee,Scone,5
2017-01-23,Cake,Tea,5
2017-11-02,Tea,Toast,5
2017-02-24,Coffee,Muffin,5
2017-12-03,Bread,Cake,5
2017-01-04,Bread,Cookies,5
2017-01-04,Bread,Brownie,5
2017-01-14,Coffee,Cookies,5
2017-01-14,Coffee,Scone,5
2017-01-22,Coffee,Soup,5
2017-09-01,Coffee,Cookies,4
2017-09-01,Coffee,Scone,4
2017-09-01,Coffee,Tea,4
2017-01-14,Brownie,Coffee,4
2017-01-18,Cake,Tea,4
2017-01-19,Coffee,Tea,4
2017-01-19,Coffee,Medialuna,4
2017-01-20,Sandwich,Tea,4
2017-01-22,Cake,"Jammie Dodgers",4
2017-01-23,Coffee,"Hot chocolate",4
2017-01-23,Cake,"Hot chocolate",4
2017-01-28,Bread,Frittata,4
2017-01-28,"Hot chocolate",Scone,4
2017-01-29,"Hot chocolate",Medialuna,4
2017-01-02,Bread,Tea,4
2017-02-02,Bread,Sandwich,4
2017-02-02,Cake,Tea,4
2017-05-02,Cookies,"Hot chocolate",4
2017-05-02,Baguette,Coffee,4
2017-05-02,Cookies,Medialuna,4
2017-08-02,Sandwich,Tea,4
2017-08-02,Bread,Cake,4
2017-08-02,Coffee,Tea,4
2017-09-02,Cookies,Toast,4
2017-09-02,Coffee,Toast,4
2017-09-02,Cookies,Juice,4
2017-09-02,Coffee,Juice,4
2017-11-02,Bread,Pastry,4
2017-11-02,Medialuna,Tea,4
2017-02-13,Coffee,"Farm House",4
2017-02-15,Coffee,"Hot chocolate",4
2017-02-17,Coffee,Cookies,4
2017-02-18,Coffee,"Jammie Dodgers",4
